artist_ID,artist_name
1001,Alfred Henderson
1002,Alfred Hitchcock
1003,Alfred Newman
1004,Alfred Pfeifle
1005,Alfred Piccaver
1006,Alfred Poell
1007,Alfred Prinz
1008,Alfred Wallenstein
1009,Alfred Walter
1010,Alfredo Antonini
1011,Alfredo Arroyo
1012,Alfredo Casella
1013,Alfredo Catalani
1014,Alfredo Giacomotti
1015,Alfredo Gutierrez
1016,Alfredo Gutierrez Y Su Conjunto
1017,Alfredo Gutiérrez y sus Acordeones Dorados
1018,Alfredo Linares
1019,Alfredo Olivas
1020,Alfredo Simonetto
1021,Algorisms
1022,Ali
1023,Ali & Gipp
1024,Ali Akbar Khan
1025,Ali Bakhsh Zahoor
1026,Ali Farka Touré
1027,Ali Gatie
1028,Ali Kuru
1029,Ali Payami
1030,Ali Re'velle
1031,Alias
1032,Alibert
1033,Alibi Montana
1034,Alice Babs
1035,Alice Bowie
1036,Alice Clark
1037,Alice Cocéa
1038,Alice Coltrane
1039,Alice Cooper
1040,Alice DJ
1041,Alice Decarli
1042,Alice Faye
1043,Alice Gerrard
1044,Alice Ghostley
1045,Alice Harvey
1046,Alice In Chains
1047,Alice Lee
1048,Alice Rose
1049,Alice Sixer
1050,Alicia Bridges
1051,Alicia Keys
1052,Alicia Morton
1053,Alicia Myers
1054,Alicia Villarreal
1055,Alicia de Larrocha
1056,Alida Rouffe
1057,Alien Ant Farm
1058,Alien Sex Fiend
1059,Alignments
1060,Alika
1061,Aliki Epitropaki
1062,Alina Baraz
1063,Alina Renae
1064,Alina Simone
1065,Aliotta Haynes Jeremiah
1066,Alirio Díaz
1067,Alisha
1068,Alison Bury
1069,Alison Krauss
1070,Alison Krauss & Union Station
1071,Alison May
1072,Alison Moyet
1073,Alison Wonderland
1074,Alissa Feudo
1075,Alitasia
1076,Alive 'N Kickin'
1077,Alizé Levy
1078,Alka Yagnik
1079,Alkaline Trio
1080,Alkatraz
1081,All
1082,All Good Things
1083,All Sons & Daughters
1084,All That Remains
1085,All Time Low
1086,All-4-One
1087,Alla Pugacheva
1088,Alla Rakha
1089,Allah-Las
1090,Allan Gray
1091,Allan Holdsworth
1092,Allan Kingdom
1093,Allan McLoud
1094,Allan Shee
1095,Allan Sherman
1096,Allan Thomas
1097,Allastair Nuku
1098,Allborn
1099,Allen & Envy
1100,Allen Block
1101,Allen Case
1102,Allen Gordon
1103,Allen Gordon  Jr. aka (ALLSTAR)
1104,Allen Idol
1105,Allen Shaw
1106,Allen Toussaint
1107,Allen Watts
1108,Allenx
1109,Allie X
1110,Allisa Rose
1111,Allisha
1112,Allister
1113,Allman Brothers Band
1114,Allure
1115,Allyn McLerie
1116,Allyson Horner
1117,Alma Cogan
1118,Almendra
1119,Almighty
1120,Almirante
1121,Almost Too Late
1122,Aloe Blacc
1123,Alois Buchbauer
1124,Alois Melichar
1125,Alois Pernerstorfer
1126,Alok
1127,Alonso Mudarra
1128,Alonzo Bosan
1129,Aloom
1130,Alora & Senii
1131,Alpana Banerjee
1132,Alpha Blondy
1133,Alpha MC
1134,Alpha Squad
1135,AlphaGerius
1136,Alphataurus
1137,Alphaville
1138,Alphawezen
1139,Alpha²
1140,Alphonse Mouzon
1141,Alphonso Evans
1142,Altar
1143,Altena
1144,Alter Bridge
1145,Alter Future
1146,Altered Images
1147,Alternative Jazz Lounge
1148,Althea And Donna
1149,Althea Waites
1150,Alton Ellis
1151,AlunaGeorge
1152,Alvarenga E Ranchinho
1153,Alvaro Carrillo
1154,Alvaro Cordova
1155,Alvaro Cordova/Orchestra del Teatro alla Scala  Milano/Victor de Sabata
1156,Alvaro Diaz
1157,Alvaro Hylander
1158,Alvaro Torres
1159,Alvin & The Chipmunks
1160,Alvin Alcorn
1161,Alvin Cash
1162,Alvin Davis
1163,Alvin Lee
1164,Alvin Stardust
1165,Alvin Stoller
1166,Alvvays
1167,Always Friday
1168,Aly
1169,Aly & AJ
1170,Aly & Fila
1171,Aly-Us
1172,Alyans
1173,Alyson Stoner
1174,Alyson Williams
1175,Am Fine
1176,AmaIia Rodriguez
1177,Amadeo 85
1178,Amadeus Quartet
1179,Amadito Valdés
1180,Amaia Montero
1181,Amala Das
1182,Amalia Ford & The 3rd Year of Renaissance Arts 2018
1183,Amalia Mendoza
1184,Amalia Pini
1185,Amalia Vaka
1186,Amanaz
1187,Amanda Bynes
1188,Amanda Crow
1189,Amanda Miguel
1190,Amanda Palmer
1191,Amanda Perez
1192,Amanda Rok
1193,Amanda Seyfried
1194,Amanda Shires
1195,Amanda Wilson
1196,Amar
1197,Amar Noori
1198,Amar Sheikh
1199,Amaranthe
1200,Amary
1201,Amaryllis Fleming
1202,Amazing Rhythm Aces
1203,Amba Shepherd
1204,Amber
1205,Amber Coffman
1206,Amber Efe
1207,Amber Holmes
1208,Amber Run
1209,Ambiente
1210,Ambition
1211,Ambiworld
1212,Ambroise Thomas
1213,Ambrosia
1214,Ambrosian Opera Chorus
1215,Ambrosian Singers
1216,Ambrosio
1217,Amedeo Minghi
1218,Amel Larrieux
1219,Amelia Williams
1220,Amelia van Hootens
1221,Amentis
1222,America
1223,American All-Stars
1224,American Authors
1225,American Breed
1226,American Concert Orchestra
1227,American Dog
1228,American Football
1229,American Hi-Fi
1230,American Nightmare
1231,American Symphony Orchestra
1232,American Werewolves
1233,Amerie
1234,Ameritz Countdown Karaoke
1235,Amezquita
1236,Amick Byram
1237,Amil
1238,Amilcare Ponchielli
1239,Amin Cruiser
1240,Amina
1241,Amind Two Guys
1242,Aminda
1243,Aminé
1244,Amir Jan
1245,Amir Khan
1246,Amira Willighagen
1247,Amirbai Karnataki
1248,Amistades Peligrosas
1249,Amit Kumar
1250,Amitabh Bachchan
1251,Ammiel López Reale
1252,Amo
1253,Amo Kalyan
1254,Amon Amarth
1255,Amon Düül II
1256,Amon Tobin
1257,Amorina
1258,Amorphis
1259,Amos Lee
1260,Amos Milburn
1261,Amoss
1262,Amp Saowaluck
1263,Amr Diab
1264,Amrinder Gill
1265,Amrita Dixit
1266,Amritlal
1267,Amsterdam Baroque Orchestra
1268,Amsterdam Toonkunst Choir
1269,Amtrac
1270,Amy
1271,Amy Adams
1272,Amy Beach
1273,Amy Castle
1274,Amy Cooper
1275,Amy Flurry
1276,Amy Grant
1277,Amy Hallett
1278,Amy Hanaiali'i
1279,Amy Helm
1280,Amy Irving
1281,Amy Lee
1282,Amy Liz
1283,Amy Lou Barnes
1284,Amy Millan
1285,Amy Murphy
1286,Amy Soonyoung
1287,Amy Spanger
1288,Amy Stolzenbach
1289,Amy Winehouse
1290,Amy Woodforde-Finden
1291,Amália Rodrigues
1292,AmáΙia Rodrigues
1293,América Sierra
1294,Ana Bekuta
1295,Ana Belén
1296,Ana Bárbara
1297,Ana Cirré
1298,Ana Criado
1299,Ana Diaz
1300,Ana Gabriel
1301,Ana Joao
