artist_ID,average tempo, average duration,average danceability
672,120.59,164634.4,0.55
673,119.98,172227.0,0.69
674,109.63,273600.0,0.63
675,89.93,309227.0,0.63
676,106.07,100887.4,0.49
677,115.08,358319.6,0.45
678,108.21,171378.1,0.34
679,103.59,162493.0,0.54
680,113.5,285391.7,0.55
681,170.49,156640.0,0.21
682,107.26,171213.0,0.83
683,177.58,207986.0,0.37
684,113.9,201953.0,0.32
685,127.97,210000.0,0.74
686,116.92,245816.6,0.55
687,133.17,280273.0,0.62
688,108.45,223283.8,0.58
689,101.83,225667.0,0.64
690,152.46,183722.2,0.64
691,138.0,266080.0,0.47
692,102.35,175413.0,0.42
693,112.26,196440.0,0.75
694,96.55,265373.0,0.34
695,125.18,245667.0,0.57
696,64.72,256280.0,0.3
697,110.05,324907.0,0.71
698,120.05,304112.0,0.67
699,76.57,328667.0,0.35
700,83.54,157149.0,0.21
701,73.41,123291.0,0.18
702,110.16,277335.5,0.6
703,154.83,416253.0,0.23
704,108.58,173700.0,0.7
705,123.59,245000.0,0.68
706,117.95,298265.0,0.76
707,102.9,192716.8,0.47
708,79.93,231854.0,0.53
709,109.37,222356.8,0.48
710,137.82,171942.5,0.57
711,125.41,212599.2,0.62
712,105.85,267582.3,0.6
713,127.34,256623.0,0.54
714,140.87,198308.9,0.49
715,106.88,172000.0,0.55
716,110.71,143248.4,0.27
717,115.71,115474.0,0.75
718,137.48,76120.0,0.68
719,123.97,167520.3,0.57
720,139.74,186467.6,0.44
721,134.76,174160.0,0.57
722,138.61,303844.3,0.4
723,90.38,208560.0,0.23
724,108.47,275480.0,0.68
725,98.93,243078.7,0.47
726,117.19,457027.0,0.3
727,70.76,384120.0,0.16
728,129.61,259698.0,0.68
729,132.74,213357.7,0.64
730,82.0,294867.0,0.64
731,140.07,291867.0,0.86
732,90.88,291506.7,0.5
733,128.0,371728.0,0.74
734,119.71,255810.2,0.46
735,113.44,260315.7,0.61
736,127.96,147650.0,0.81
737,109.07,192619.2,0.32
738,136.27,223124.7,0.59
739,125.04,308347.0,0.66
740,130.26,168625.0,0.74
741,126.13,185533.0,0.61
742,103.85,376264.4,0.32
743,97.15,475387.0,0.2
744,87.3,189356.4,0.58
745,130.03,73853.0,0.61
746,120.21,173200.0,0.57
747,105.82,251520.0,0.48
748,123.72,256966.6,0.66
749,125.32,242426.8,0.44
750,105.91,212423.2,0.6
751,80.95,192746.5,0.16
752,120.27,250536.7,0.62
753,117.71,245589.2,0.61
754,121.64,292154.3,0.37
755,102.87,175284.7,0.51
756,80.03,320061.3,0.12
757,135.35,286864.7,0.61
758,76.84,320267.0,0.69
759,98.04,550360.0,0.46
760,75.67,260627.0,0.42
761,116.05,175653.3,0.53
762,118.95,168911.9,0.61
763,110.59,215537.8,0.42
764,99.93,205205.7,0.34
765,128.01,331890.0,0.81
766,97.35,186720.0,0.36
767,84.36,223840.0,0.11
768,103.7,214528.8,0.48
769,115.6,138003.5,0.44
770,147.99,247293.0,0.47
771,108.27,203311.0,0.87
772,145.24,230693.5,0.7
773,189.19,243413.0,0.62
774,116.7,183414.4,0.42
775,127.2,361843.2,0.79
776,95.35,174211.0,0.66
777,122.49,179762.2,0.47
778,139.99,227760.0,0.79
779,102.6,313513.0,0.26
780,125.13,138098.0,0.51
781,109.1,199525.5,0.71
782,126.09,239302.5,0.45
783,93.71,551036.1,0.25
784,134.22,233960.0,0.64
785,138.99,460254.5,0.61
786,138.47,261662.0,0.24
787,139.03,145553.5,0.61
788,119.22,203173.0,0.41
789,130.26,243687.0,0.65
790,105.43,780712.5,0.69
791,112.02,209876.0,0.45
792,96.34,220451.3,0.23
793,124.0,453387.0,0.8
794,116.28,174309.8,0.37
795,125.0,679680.0,0.75
796,115.95,172800.0,0.47
797,121.13,173847.0,0.44
798,126.99,261933.0,0.45
799,137.11,184747.0,0.64
800,129.45,184267.0,0.59
801,117.05,415757.5,0.75
802,129.91,171586.0,0.6
803,89.72,235267.0,0.46
804,125.06,241339.9,0.39
805,94.27,148562.0,0.38
806,121.38,163893.0,0.75
807,160.04,216000.0,0.46
808,85.3,60333.0,0.59
809,101.42,167698.8,0.55
810,137.06,185167.1,0.66
811,100.96,159363.0,0.5
812,130.01,377077.0,0.78
813,79.69,273947.0,0.11
814,98.77,206733.0,0.36
815,139.01,494707.0,0.5
816,114.0,205500.0,0.81
817,104.05,276061.5,0.57
818,130.6,236202.1,0.58
819,103.4,182325.7,0.5
820,106.02,209453.0,0.35
821,147.68,144289.0,0.48
822,130.0,424512.0,0.79
823,126.13,214735.0,0.57
824,149.81,230533.0,0.55
825,120.08,234893.0,0.63
826,119.33,280285.8,0.56
827,125.0,447314.0,0.81
828,103.34,181234.0,0.33
829,113.29,276967.4,0.36
830,100.9,224084.7,0.55
831,127.45,281824.4,0.68
832,123.16,320440.0,0.45
833,130.01,289851.0,0.77
834,108.03,339387.0,0.47
835,140.01,422156.5,0.49
836,134.35,114990.0,0.56
837,126.0,470474.0,0.68
838,94.89,199133.0,0.28
839,131.97,268000.0,0.62
840,132.03,296151.0,0.83
841,71.83,296480.0,0.38
842,105.04,183439.8,0.56
843,138.47,169455.0,0.42
