727,Aphrodite,217
728,Bonzo,56
729,Socit Nautique de la Basse Seine-1,70
730,Socit Nautique de la Basse Seine-2,70
731,Univ. of Brussels,20
732,"Concordia Turnverein, St Louis",217
733,Rowing Club Castillon-3,70
734,Frip IV,70
735,Mad Dog,37
736,Hb-24,70
737,Hb-20,70
738,"South St Louis Turnverein, St Louis",80
739,Century Boat Club-1,217
740,Unique,75
741,Pan-Hellenic Athletic Club,82
742,"Phalainis ton Thorichtou ""Hydra""-2",82
743,Viking,151
744,Silja,151
745,Bermudian,22
746,Dresden,37
747,United States/Great Britain,75
748,Mignon-29,70
749,Mignon-3,70
750,Favorite-17,70
751,Favorite-1,70
752,St. Louis Amateur Athletic Association,217
753,Naiad,13
754,Pakaria,13
755,Ireland-3,75
756,Serbia-2,186
757,United States-14,217
758,Oxalis,164
759,Gitana-21,70
760,Gitana-2,70
761,Joy,146
762,Thalatta,146
763,Trintel II,146
764,"Central Turnverein, Chicago",217
765,Galopin-20,70
766,Galopin-9,70
767,France-4,70
768,Berliner Ruderclub,80
769,Rhythm,217
770,"Turnverein Vorwrts, Chicago",217
771,Guanahani,16
772,Unknown,214
773,Spirit III,217
774,Pannonia RC/National RC,91
775,Bella,69
776,May-Be 1960,14
777,May Be,194
778,Inga-Lill XXXXIII,69
779,Mexico-1,131
780,Nirwana,80
781,Omilos Ereton Peiraios-2,82
782,Llanoria,217
783,Marmi II-1,151
784,Kitty-1,194
785,Vaxholm Roddklubb,194
786,Tuvalu,209
787,A North American Team,131
788,Nirefs,82
789,Proteus II,82
790,Finn II,69
791,Impala,171
792,Missouri Athletic Club-3,217
793,Pam,22
794,Oleander II,22
795,Apache,151
796,Roklubb Kbnhavn-2,56
797,Tu-Fri,69
798,Tutti V,65
799,Cha-Cha III,228
800,Augsburg,101
801,Leander Club #2-2,75
802,Ariel,37
803,Encore,151
804,Feo,75
805,Seawanhaka Boat Club-1,217
806,Gem II,75
807,Gem III,16
808,Gem IV,16
809,Gem VII,16
810,Pupilles de Neptune de Lille #1-3,70
811,Chaje II,69
812,Ludwigshafener Ruder Verein-1,80
813,Leander Club #1-1,75
814,Dylan-2,75
815,Moorina,13
816,30. Februar,14
817,Cercle Nautique de Reims-4,70
818,Cuba-2,53
819,Struten,151
820,Gyrinus-1,75
821,Ylliam II,191
822,East Germany-3,77
823,Paka V,80
824,Brigantia,14
825,Sydney Rowing Club,8
826,Espardate,164
827,Australia/Great Britain,13
828,Kannibaltje,70
829,Milwaukee Athletic Club-1,217
830,Xantippa,69
831,Skum,56
832,Miss Denmark 1964,56
833,Kemphaan,146
834,Helsingfors R. K.,69
835,Newfoundland,148
836,Emily,75
837,Fram III,151
838,Mizar,9
839,Ubu,20
840,St. Louis Southwest Turnverein #2-3,217
841,"Socialer Turnverein, Detroit",217
842,Bohemia-1,27
843,Essen,105
844,Miss Nippon V,105
845,Argeste,101
846,Gullvinge,9
847,United States-4,217
848,South Korea-1,110
849,Bajazzo,216
850,Cinara-13,70
851,Ilderim,194
852,Tantalus,80
853,Peiraikos Syndesmos-2,82
854,Baby-9,70
855,Baby-1,70
856,Femur-18,70
857,Femur-1,70
858,Kosovo,111
859,Colette-10,70
860,Colette-12,70
861,Germany/United States,217
862,"Germania Ruder Club, Hamburg",80
863,Freddy,20
864,Korshun,215
865,Hungary-2,91
866,Patricia,159
867,Tlaloc,131
868,Springbok,171
869,Aretusa,101
870,Quicksilver-2,75
871,Viktoriya,215
872,"Germania Ruder Club, Hamburg-2",80
873,Omilos Ereton Smyrnis,82
874,Belarus-2,26
875,Alcaid,164
876,Finland-1,69
877,Finland-2,69
878,Alain IV,191
879,Jupiter,217
880,Three Leaves,96
881,"Philadelphia Turngemeinde, Philadelphia",217
882,K.S.S.S. 1912-2,194
883,Unified Team-3,67
884,Paka,75
885,Sheerio,69
886,Pan II,151
887,Pasodoble,64
888,Freja,194
889,India-2,93
890,Sass-2,194
891,Roy,105
892,Ukraine-1,213
893,Deutscher Schwimm Verband Berlin,80
894,Jet,37
895,Belgium-3,20
896,Shrew II,217
897,Sylvia,194
898,Salamander,75
899,Denmark-3,56
900,Ingegerd,194
901,Slovakia-2,193
902,Johan,75
903,Jamaica-2,103
904,Andromeda,75
905,Hornet,13
906,South Sudan,188
907,Sweden-4,194
908,Chance,194
909,Brat,75
910,Yeoman V,171
911,Knigsberg,91
912,Don Schufro,56
913,Vinga-1,194
914,Aloha II,194
915,Raili,69
916,Syndi,37
917,Vento Sul,30
918,Sans Atout-1,194
919,Miss Nippon IV,103
920,New Zealand-1,153
921,Tramontane,70
922,Sandra,70
923,"Milwaukee Turnverein, Milwaukee",217
924,Nurdug II,56
925,Eleda,151
926,Lbeck,30
927,Yeoman,16
928,Boer Team,171
929,Beatrijs III-1,146
930,Lancet,75
931,West Germany-3,71
932,Lesotho,119
933,Ravenswood Boat Club-2,217
934,Whisper,105
935,Irene,151
936,Balaton,91
937,Kuling,194
938,Sif,194
939,Djinn,9
940,Mascotte,146
941,Bona Fide,75
942,Laurea-1,75
943,Skidoo,217
944,Tomahawk II,37
945,Whirlaway,37
946,Sorais-2,75
947,Minotaur,217
948,United States-5,217
949,Surprise,14
950,Zut,20
951,Tan-Fe-Pah,20
952,Ciss,20
953,Australia-3,13
954,Bohemia-3,27
955,Boreas,105
956,MitaII,105
957,Escapade,30
958,Slovakia-1,193
959,Ralia,69
960,Clearwater,56
961,Angerburg,217
962,United States-8,217
963,Barco Deloro,146
964,Dick-8,70
965,Yugoslavia-2,228
966,Kalayaan,159
967,Bohemia-2,27
968,Olimpia,91
969,Macky VI,80
970,Nrnberg,146
971,Nephos I,82
972,Tengiri,92
973,Hayama,194
974,Rush VII,194
975,Rush V,194
976,Ethnikos Gymnastikos Syllogos,82
977,John B,16
978,Bim,16
979,Bonaparte,80
980,North Korea-2,165
981,Mythilus,217
982,Rambo,105
983,Floresco,194
984,Hong Kong-2,89
985,Luxembourg-2,123
986,Lucky,151
987,Spirit VI,217
988,Lully II,151
989,Sildra-1,151
990,Noreg,151
991,Subbnboana,80
992,"Phalainis ton Thorichtou ""Psara""-3",82
993,Slovenia-1,182
994,Rostock,80
995,Norman-1,172
996,Olympion,82
997,Sunshine,194
998,Heidelberg,216
